concurrency,n_total,create_avg_ms,create_p50_ms,create_p95_ms,create_p99_ms,delete_avg_ms,throughput_sb_s,success_pct,errors
100,1000,80.8,75.4,127.1,141.8,125.8,370.6,100,0
110,1100,86.4,79.4,141.3,152.9,121.7,402.9,100,0
120,1200,84.4,77.9,137.4,156.2,117.2,446.7,100,0
130,1300,88.6,82.5,144.3,168.5,118.2,490.1,100,0
140,1400,90.4,84.0,150.1,183.9,118.9,430.6,100,0
150,1500,102.3,97.3,160.6,195.1,131.8,497.2,100,0
160,1600,103.5,98.3,167.4,203.3,129.6,528.8,100,0
170,1700,112.4,109.2,174.2,204.7,136.8,535.5,100,0
180,1800,111.5,107.0,174.9,206.8,143.9,571.3,100,0
190,1900,119.4,118.1,172.0,205.5,139.5,589.8,100,0
200,2000,129.0,131.7,180.4,217.3,153.6,585.3,99.7,7
210,2100,133.3,130.8,192.0,225.7,146.0,581.5,87.2,268
220,2200,133.3,131.1,196.4,239.4,156.0,579.5,79.7,447
230,2300,153.5,151.9,241.7,261.0,161.6,416.8,36.2,1468
240,2400,155.7,151.8,245.7,266.7,164.5,561.9,63.0,888
250,2500,157.4,152.0,241.9,266.7,168.8,579.6,70.0,749
260,2600,167.5,166.0,242.5,269.4,175.8,600.5,77.8,576
270,2700,171.6,169.1,241.4,281.3,177.6,611.9,80.5,527
280,2800,178.0,178.2,252.0,283.0,187.7,624.0,79.4,576
290,2900,193.4,190.9,278.5,293.1,180.6,498.0,36.8,1834
300,3000,194.3,193.8,280.6,297.8,192.0,562.6,51.9,1444
310,3100,205.7,210.6,297.1,330.4,204.4,577.4,62.0,1179
320,3200,206.7,216.4,292.9,322.6,225.5,516.7,44.3,1781
330,3300,224.1,229.6,322.5,352.8,224.6,461.0,31.9,2247
340,3400,220.3,231.3,305.0,334.4,220.8,568.5,53.2,1591
350,3500,224.5,221.0,325.9,358.8,219.0,496.9,51.7,1689
