concurrency,n_total,create_avg_ms,create_p50_ms,create_p95_ms,create_p99_ms,delete_avg_ms,throughput_sb_s,success_pct,errors
100,1000,129.5,125.9,173.2,185.1,182.7,256.1,100,0
110,1100,126.6,122.9,185.7,195.6,171.6,292.3,100,0
120,1200,130.7,126.6,185.8,207.9,174.7,313.6,100,0
130,1300,141.0,133.8,211.8,237.9,185.2,315.7,100,0
140,1400,138.8,133.2,200.3,232.9,179.2,357.7,100,0
150,1500,141.3,135.7,206.9,235.7,177.5,381.7,100,0
160,1600,145.2,137.3,214.6,240.6,177.3,400.8,100,0
170,1700,152.5,145.4,245.1,288.4,178.6,417.2,100,0
180,1800,166.3,160.1,235.8,264.1,194.4,410.4,100,0
190,1900,169.5,167.4,234.2,274.3,201.1,427.6,100,0
200,2000,173.6,169.1,251.0,281.5,205.7,439.9,100,0
210,2100,179.6,176.6,242.2,280.7,203.3,452.2,100,0
220,2200,186.9,183.1,259.3,285.6,213.2,456.5,100,0
230,2300,198.8,193.4,282.1,325.5,224.7,456.7,100,0
240,2400,208.9,204.4,302.5,346.6,227.6,460.8,100,0
250,2500,222.4,220.8,300.7,349.3,228.7,467.9,100,0
260,2600,226.0,222.2,309.5,371.5,237.0,478.3,100,0
270,2700,233.9,231.4,326.5,373.1,245.6,472.7,100,0
280,2800,241.3,236.3,335.9,362.7,244.8,496.3,100,0
290,2900,249.2,249.0,325.5,364.8,252.9,494.6,100,0
300,3000,265.1,259.8,356.2,406.9,257.3,497.4,100,0
310,3100,289.7,291.2,392.0,430.1,279.1,477.3,100,0
320,3200,286.9,284.3,370.9,460.1,272.5,492.9,100,0
330,3300,296.8,295.4,370.8,502.9,284.4,493.7,100,0
340,3400,301.2,300.1,390.9,446.2,291.6,501.9,100,0
350,3500,310.7,306.9,412.6,491.1,294.8,506.9,100,0
