# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 48K of event 'cycles'
# Event count (approx.): 123776222208
#
# Overhead       Samples  Command          Shared Object     Symbol                                        
# ........  ............  ...............  ................  ..............................................
#
     0.22%           104  redis-server     [kernel.vmlinux]  [k] inet_gro_receive
     0.22%           106  redis-server     [kernel.vmlinux]  [k] napi_pp_put_page
     0.22%           106  redis-server     [mlx5_core]       [k] 0x000000000000c9be
     0.21%           104  redis-server     [kernel.vmlinux]  [k] sock_read_iter
     0.21%           100  redis-server     [kernel.vmlinux]  [k] napi_build_skb
     0.20%            98  redis-server     [kernel.vmlinux]  [k] sock_def_readable
     0.20%            98  redis-server     [kernel.vmlinux]  [k] __slab_free
     0.20%            97  redis-server     [kernel.vmlinux]  [k] ep_done_scan
     0.20%            96  redis-server     [kernel.vmlinux]  [k] nf_hook_slow
     0.20%            96  redis-server     [kernel.vmlinux]  [k] tcp_sendmsg_locked
     0.20%            94  redis-server     [kernel.vmlinux]  [k] dev_gro_receive
     0.19%            95  redis-server     [kernel.vmlinux]  [k] ktime_get
     0.19%            92  redis-server     [kernel.vmlinux]  [k] tcp_established_options.constprop.0
     0.19%            93  redis-server     [kernel.vmlinux]  [k] __rcu_read_unlock
     0.19%            90  redis-server     [kernel.vmlinux]  [k] mem_cgroup_uncharge_skmem
     0.19%            87  redis-server     [nf_nat]          [k] nf_nat_inet_fn
     0.18%            88  redis-server     [kernel.vmlinux]  [k] __put_user_nocheck_4
     0.18%            87  redis-server     [kernel.vmlinux]  [k] call_function_single_prep_ipi
     0.18%            86  redis-server     [kernel.vmlinux]  [k] __local_bh_enable_ip
     0.18%            86  redis-server     [mlx5_core]       [k] 0x000000000004dbc5
     0.18%            87  redis-server     [kernel.vmlinux]  [k] tcp_gro_receive
     0.17%            84  redis-server     redis-server      [.] processMultibulkBuffer
     0.17%            80  redis-server     [kernel.vmlinux]  [k] __schedule
     0.17%            81  redis-server     [kernel.vmlinux]  [k] __xfrm_policy_check2.constprop.0
     0.16%            76  redis-server     [kernel.vmlinux]  [k] ip_finish_output2
     0.16%            76  redis-server     [kernel.vmlinux]  [k] __might_sleep
     0.15%            74  redis-server     [mlx5_core]       [k] 0x000000000004bf05
     0.15%            72  redis-server     [kernel.vmlinux]  [k] tcp_clean_rtx_queue.constprop.0
     0.15%            72  redis-server     [kernel.vmlinux]  [k] __mod_timer
     0.15%            70  redis-server     [mlx5_core]       [k] 0x00000000000538cb
     0.15%            70  redis-server     [kernel.vmlinux]  [k] __list_add_valid_or_report
     0.15%            71  redis-server     [kernel.vmlinux]  [k] do_raw_write_lock
     0.15%            71  redis-server     redis-server      [.] je_malloc
     0.14%            69  redis-server     libc.so.6         [.] epoll_wait
     0.14%            67  redis-server     [kernel.vmlinux]  [k] mem_cgroup_charge_skmem
     0.14%            66  redis-server     [kernel.vmlinux]  [k] syscall_exit_to_user_mode
     0.14%            67  redis-server     [kernel.vmlinux]  [k] ttwu_queue_wakelist
     0.14%            66  redis-server     [mlx5_core]       [k] 0x000000000004beb5
     0.14%            66  redis-server     [kernel.vmlinux]  [k] tcp_v4_rcv
     0.13%            66  redis-server     [nf_conntrack]    [k] resolve_normal_ct
     0.13%            63  redis-server     [kernel.vmlinux]  [k] tcp_event_data_recv
     0.13%            63  redis-server     [kernel.vmlinux]  [k] build_detached_freelist
     0.13%            62  redis-server     [mlx5_core]       [k] 0x000000000000c963
     0.12%            60  redis-server     redis-server      [.] decrRefCount
     0.12%            61  redis-server     [kernel.vmlinux]  [k] __put_user_nocheck_8
     0.12%            61  redis-server     [vdso]            [.] 0x0000000000000b05
     0.12%            61  redis-server     [kernel.vmlinux]  [k] netdev_pick_tx
     0.12%            57  redis-server     [kernel.vmlinux]  [k] enqueue_timer
     0.12%            58  redis-server     [nf_conntrack]    [k] nf_ct_get_tuple
     0.12%            57  redis-server     [kernel.vmlinux]  [k] __fdget
     0.12%            57  redis-server     [mlx5_core]       [k] 0x000000000004ce49
     0.12%            57  redis-server     [kernel.vmlinux]  [k] debug_smp_processor_id
     0.12%            56  redis-server     [kernel.vmlinux]  [k] sk_filter_trim_cap
     0.12%            55  redis-server     [kernel.vmlinux]  [k] native_sched_clock
     0.12%            57  redis-server     [kernel.vmlinux]  [k] sch_direct_xmit
     0.11%            55  redis-server     [kernel.vmlinux]  [k] do_syscall_64
     0.11%            57  redis-server     [kernel.vmlinux]  [k] entry_SYSCALL_64
     0.11%            52  redis-server     [kernel.vmlinux]  [k] try_charge_memcg
     0.11%            53  redis-server     [nf_nat]          [k] nf_nat_ipv4_local_in
     0.11%            53  redis-server     [mlx5_core]       [k] 0x000000000005407b
     0.11%            52  redis-server     [kernel.vmlinux]  [k] update_load_avg
     0.11%            52  redis-server     libc.so.6         [.] __strcasecmp_l_evex
     0.11%            52  redis-server     [kernel.vmlinux]  [k] syscall_trace_enter
     0.11%            50  redis-server     [kernel.vmlinux]  [k] _raw_spin_lock_irqsave
     0.10%            51  redis-server     [kernel.vmlinux]  [k] in_lock_functions
     0.10%            50  redis-server     redis-server      [.] siphash
     0.10%            51  redis-server     [kernel.vmlinux]  [k] __rcu_read_lock
     0.10%            50  redis-server     [kernel.vmlinux]  [k] try_to_wake_up
     0.10%            50  redis-server     [kernel.vmlinux]  [k] __skb_clone
     0.10%            50  redis-server     redis-server      [.] processInputBuffer
     0.10%            48  redis-server     [kernel.vmlinux]  [k] tcp_stream_memory_free
     0.10%            49  redis-server     [kernel.vmlinux]  [k] __netif_receive_skb_core.constprop.0
     0.10%            49  redis-server     [kernel.vmlinux]  [k] dev_hard_start_xmit
     0.10%            47  redis-server     [kernel.vmlinux]  [k] skb_clone
     0.10%            48  redis-server     [kernel.vmlinux]  [k] __audit_syscall_entry
     0.10%            47  redis-server     [kernel.vmlinux]  [k] tcp_data_queue
     0.10%            47  redis-server     [kernel.vmlinux]  [k] dma_direct_map_page
     0.10%            46  redis-server     [kernel.vmlinux]  [k] __update_load_avg_cfs_rq
     0.09%            46  redis-server     [kernel.vmlinux]  [k] pfifo_fast_dequeue
     0.09%            46  redis-server     [kernel.vmlinux]  [k] finish_task_switch.isra.0
     0.09%            44  redis-server     [kernel.vmlinux]  [k] page_counter_uncharge
     0.09%            44  redis-server     redis-server      [.] dictFind
     0.09%            43  redis-server     [kernel.vmlinux]  [k] __sk_mem_raise_allocated
