# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 44K of event 'cycles'
# Event count (approx.): 98282321717
#
# Overhead       Samples  Command          Shared Object     Symbol                                        
# ........  ............  ...............  ................  ..............................................
#
     0.22%           100  redis-server     [kernel.vmlinux]  [k] native_irq_return_iret
     0.22%            93  redis-server     [kernel.vmlinux]  [k] __might_sleep
     0.21%            93  redis-server     [kernel.vmlinux]  [k] __rcu_read_unlock
     0.21%            92  redis-server     [kernel.vmlinux]  [k] tcp_clean_rtx_queue.constprop.0
     0.20%            87  redis-server     redis-server      [.] processMultibulkBuffer
     0.20%            87  redis-server     [kernel.vmlinux]  [k] __schedule
     0.20%            88  redis-server     [nf_nat]          [k] nf_nat_inet_fn
     0.20%            87  redis-server     [kernel.vmlinux]  [k] do_raw_write_lock
     0.20%            86  redis-server     [kernel.vmlinux]  [k] napi_build_skb
     0.19%            86  redis-server     [kernel.vmlinux]  [k] try_to_wake_up
     0.19%            85  redis-server     [kernel.vmlinux]  [k] inet_gro_receive
     0.19%            86  redis-server     [kernel.vmlinux]  [k] mem_cgroup_uncharge_skmem
     0.19%            82  redis-server     [kernel.vmlinux]  [k] ktime_get
     0.19%            84  redis-server     [kernel.vmlinux]  [k] dev_gro_receive
     0.19%            83  redis-server     [kernel.vmlinux]  [k] __put_user_nocheck_8
     0.19%            83  redis-server     [kernel.vmlinux]  [k] sock_def_readable
     0.18%            81  redis-server     [kernel.vmlinux]  [k] napi_pp_put_page
     0.18%            79  redis-server     redis-server      [.] decrRefCount
     0.18%            80  redis-server     [kernel.vmlinux]  [k] ttwu_queue_wakelist
     0.18%            80  redis-server     [kernel.vmlinux]  [k] __local_bh_enable_ip
     0.18%            76  redis-server     [kernel.vmlinux]  [k] __dev_queue_xmit
     0.18%            79  redis-server     [kernel.vmlinux]  [k] tcp_established_options.constprop.0
     0.18%            81  redis-server     [kernel.vmlinux]  [k] cpuacct_charge
     0.18%            79  redis-server     [kernel.vmlinux]  [k] finish_task_switch.isra.0
     0.18%            80  redis-server     [kernel.vmlinux]  [k] __mod_timer
     0.18%            79  redis-server     [kernel.vmlinux]  [k] ip_finish_output2
     0.17%            75  redis-server     [kernel.vmlinux]  [k] __put_user_nocheck_4
     0.17%            77  redis-server     [kernel.vmlinux]  [k] dequeue_task_fair
     0.17%            75  redis-server     [kernel.vmlinux]  [k] in_lock_functions
     0.17%            75  redis-server     [kernel.vmlinux]  [k] syscall_exit_to_user_mode
     0.17%            74  redis-server     [kernel.vmlinux]  [k] tcp_v4_rcv
     0.17%            74  redis-server     [kernel.vmlinux]  [k] update_load_avg
     0.17%            72  redis-server     [kernel.vmlinux]  [k] entry_SYSCALL_64
     0.16%            74  redis-server     [kernel.vmlinux]  [k] __fdget
     0.16%            69  redis-server     [kernel.vmlinux]  [k] __list_add_valid_or_report
     0.15%            67  redis-server     [kernel.vmlinux]  [k] __rcu_read_lock
     0.15%            68  redis-server     [kernel.vmlinux]  [k] update_rq_clock
     0.15%            67  redis-server     [kernel.vmlinux]  [k] syscall_trace_enter
     0.15%            67  redis-server     redis-server      [.] siphash
     0.15%            66  redis-server     [vdso]            [.] 0x0000000000000b05
     0.15%            65  redis-server     [kernel.vmlinux]  [k] skb_clone
     0.15%            64  redis-server     [kernel.vmlinux]  [k] __xfrm_policy_check2.constprop.0
     0.15%            64  redis-server     [kernel.vmlinux]  [k] debug_smp_processor_id
     0.15%            64  redis-server     [kernel.vmlinux]  [k] sk_filter_trim_cap
     0.14%            63  redis-server     [kernel.vmlinux]  [k] enqueue_timer
     0.14%            63  redis-server     libc.so.6         [.] __strcasecmp_l_evex
     0.14%            63  redis-server     [mlx5_core]       [k] mlx5e_rx_cq_process_basic_cqe_comp
     0.14%            62  redis-server     [kernel.vmlinux]  [k] update_curr
     0.14%            64  redis-server     [kernel.vmlinux]  [k] native_sched_clock
     0.14%            63  redis-server     [nf_conntrack]    [k] resolve_normal_ct
