concurrency,n_total,create_avg_ms,create_p50_ms,create_p95_ms,create_p99_ms,delete_avg_ms,throughput_sb_s,success_pct,errors
100,1000,75.3,70.3,127.3,149.4,118.3,392.2,100,0
110,1100,80.1,72.8,134.0,150.6,120.0,414.2,100,0
120,1200,80.7,73.9,135.3,151.9,113.6,467.8,100,0
130,1300,91.2,88.5,145.9,160.4,127.9,469.0,100,0
140,1400,95.3,89.9,152.1,172.1,124.4,503.8,100,0
150,1500,98.1,93.1,161.5,197.5,119.4,518.2,100,0
160,1600,104.8,101.6,160.1,197.7,127.6,531.3,100,0
170,1700,106.7,104.0,158.4,189.0,128.1,563.1,100,0
180,1800,111.4,108.1,178.5,205.5,136.2,582.9,100,0
190,1900,119.4,114.3,188.6,220.3,139.1,575.9,100,0
200,2000,121.6,120.0,187.6,216.3,143.7,517.1,100,0
210,2100,126.2,123.6,186.8,224.4,144.8,623.9,100,0
220,2200,138.8,136.8,200.5,240.8,157.2,613.0,100,0
230,2300,142.5,137.8,208.8,240.8,156.7,643.2,100,0
240,2400,152.9,147.3,246.2,273.3,159.4,620.8,100,0
250,2500,155.5,151.2,212.1,251.1,162.3,653.6,100,0
260,2600,164.6,166.3,236.2,275.8,177.0,643.8,100,0
270,2700,168.9,169.6,243.0,271.3,186.6,646.0,100,0
280,2800,175.6,173.1,244.6,287.2,179.7,657.2,100,0
290,2900,187.8,191.6,259.7,298.7,194.6,646.5,100,0
300,3000,194.5,190.9,270.5,323.8,194.9,660.3,100,0
310,3100,192.4,192.1,267.7,295.7,194.3,671.0,100,0
320,3200,202.8,206.8,272.6,312.7,208.1,592.9,100,0
330,3300,211.7,213.9,289.0,330.4,211.7,668.0,100,0
340,3400,220.7,219.9,299.5,333.0,215.7,666.4,100,0
350,3500,230.3,234.4,308.9,359.0,229.9,648.9,100,0
