# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 39K of event 'cycles'
# Event count (approx.): 84431220089
#
# Overhead       Samples  Command          Shared Object     Symbol                                        
# ........  ............  ...............  ................  ..............................................
#
     0.24%            91  redis-server     [kernel.vmlinux]  [k] update_rq_clock
     0.23%            91  redis-server     [kernel.vmlinux]  [k] try_to_wake_up
     0.23%            90  redis-server     [kernel.vmlinux]  [k] entry_SYSRETQ_unsafe_stack
     0.22%            88  redis-server     [kernel.vmlinux]  [k] __rcu_read_unlock
     0.22%            86  redis-server     libc.so.6         [.] epoll_wait
     0.22%            84  redis-server     [kernel.vmlinux]  [k] __might_sleep
     0.21%            82  redis-server     [kernel.vmlinux]  [k] native_irq_return_iret
     0.21%            83  redis-server     [kernel.vmlinux]  [k] __list_add_valid_or_report
     0.21%            83  redis-server     [kernel.vmlinux]  [k] cpuacct_charge
     0.20%            78  redis-server     redis-server      [.] je_malloc
     0.20%            81  redis-server     [kernel.vmlinux]  [k] finish_task_switch.isra.0
     0.20%            85  redis-server     [kernel.vmlinux]  [k] nf_hook_slow
     0.20%            77  redis-server     [kernel.vmlinux]  [k] __dev_queue_xmit
     0.20%            78  redis-server     [kernel.vmlinux]  [k] napi_pp_put_page
     0.19%            75  redis-server     [kernel.vmlinux]  [k] tcp_clean_rtx_queue.constprop.0
     0.19%            78  redis-server     [kernel.vmlinux]  [k] dequeue_task_fair
     0.18%            70  redis-server     [kernel.vmlinux]  [k] __alloc_skb
     0.18%            68  redis-server     [kernel.vmlinux]  [k] __put_user_nocheck_4
     0.18%            68  redis-server     [kernel.vmlinux]  [k] syscall_trace_enter
     0.18%            70  redis-server     redis-server      [.] processMultibulkBuffer
     0.17%            69  redis-server     [kernel.vmlinux]  [k] ip_finish_output2
     0.17%            70  redis-server     [kernel.vmlinux]  [k] tcp_v4_rcv
     0.17%            70  redis-server     [kernel.vmlinux]  [k] napi_build_skb
     0.17%            69  redis-server     [kernel.vmlinux]  [k] sock_def_readable
     0.17%            68  redis-server     [kernel.vmlinux]  [k] __local_bh_enable_ip
     0.17%            68  redis-server     [kernel.vmlinux]  [k] in_lock_functions
     0.16%            65  redis-server     [kernel.vmlinux]  [k] entry_SYSCALL_64
     0.16%            64  redis-server     [kernel.vmlinux]  [k] __xfrm_policy_check2.constprop.0
     0.16%            65  redis-server     [kernel.vmlinux]  [k] native_sched_clock
     0.16%            62  redis-server     [kernel.vmlinux]  [k] __put_user_nocheck_8
     0.16%            63  redis-server     [kernel.vmlinux]  [k] tcp_sendmsg_locked
     0.16%            61  redis-server     [kernel.vmlinux]  [k] ktime_get
     0.15%            61  redis-server     [vdso]            [.] 0x0000000000000b05
     0.15%            58  redis-server     redis-server      [.] decrRefCount
     0.15%            55  redis-server     [kernel.vmlinux]  [k] update_curr
     0.14%            58  redis-server     [kernel.vmlinux]  [k] page_counter_uncharge
     0.14%            55  redis-server     [kernel.vmlinux]  [k] sk_filter_trim_cap
     0.14%            56  redis-server     [kernel.vmlinux]  [k] syscall_exit_to_user_mode
     0.14%            57  redis-server     [kernel.vmlinux]  [k] update_sd_lb_stats.constprop.0
     0.14%            56  redis-server     [kernel.vmlinux]  [k] skb_gro_receive
     0.13%            55  redis-server     libc.so.6         [.] __strcasecmp_l_evex
     0.13%            54  redis-server     redis-server      [.] je_free
     0.13%            52  redis-server     [kernel.vmlinux]  [k] enqueue_timer
     0.13%            53  redis-server     redis-server      [.] siphash
     0.13%            51  redis-server     [kernel.vmlinux]  [k] prepare_task_switch
     0.13%            50  redis-server     [kernel.vmlinux]  [k] __sk_mem_raise_allocated
     0.13%            50  redis-server     [kernel.vmlinux]  [k] __rcu_read_lock
     0.13%            51  redis-server     [kernel.vmlinux]  [k] try_charge_memcg
     0.13%            52  redis-server     [kernel.vmlinux]  [k] __mod_timer
     0.13%            52  redis-server     [nf_conntrack]    [k] nf_ct_get_tuple
     0.13%            51  redis-server     [kernel.vmlinux]  [k] __sock_wfree
     0.13%            52  redis-server     [kernel.vmlinux]  [k] rseq_update_cpu_node_id
     0.13%            50  redis-server     [vdso]            [.] 0x0000000000000861
     0.12%            52  redis-server     [kernel.vmlinux]  [k] debug_smp_processor_id
     0.12%            48  redis-server     [kernel.vmlinux]  [k] do_syscall_64
     0.12%            47  redis-server     [kernel.vmlinux]  [k] mem_cgroup_charge_skmem
     0.12%            47  redis-server     [kernel.vmlinux]  [k] tcp_data_queue
     0.12%            49  redis-server     [kernel.vmlinux]  [k] tcp_established_options.constprop.0
     0.12%            45  redis-server     [kernel.vmlinux]  [k] dequeue_entity
     0.11%            44  redis-server     [kernel.vmlinux]  [k] skb_clone
     0.11%            46  redis-server     [nf_nat]          [k] nf_nat_ipv4_local_in
     0.11%            44  redis-server     [kernel.vmlinux]  [k] __audit_syscall_entry
     0.11%            42  redis-server     [kernel.vmlinux]  [k] ip_rcv_core
     0.11%            43  redis-server     [kernel.vmlinux]  [k] tcp_event_data_recv
     0.11%            41  redis-server     [kernel.vmlinux]  [k] __fdget
     0.11%            40  redis-server     [kernel.vmlinux]  [k] ktime_get_ts64
     0.11%            43  redis-server     redis-server      [.] dictFind
     0.10%            40  redis-server     [kernel.vmlinux]  [k] __netif_receive_skb_core.constprop.0
     0.10%            42  redis-server     [nf_conntrack]    [k] resolve_normal_ct
     0.10%            41  redis-server     [kernel.vmlinux]  [k] sch_direct_xmit
     0.10%            39  redis-server     redis-server      [.] processInputBuffer
     0.10%            38  redis-server     [kernel.vmlinux]  [k] load_balance
     0.10%            37  redis-server     [kernel.vmlinux]  [k] gro_list_prepare
     0.10%            39  redis-server     [kernel.vmlinux]  [k] dma_direct_map_page
