]633;E;echo "metric,snc0-default,snc1-default-irq-snc1,snc1-opt-irq-snc1";2b1d5ba6-9f68-4bd5-9c55-49df1e5d3a74]633;Cmetric,snc0-default,snc1-default-irq-snc1,snc1-opt-irq-snc1
"[kernel.vmlinux]",77.85,73.01,76.34
"libc.so.6",3.14,2.62,3.55
"[mlx5_core]",4.26,10.87,4.04
"[nf_conntrack]",6.62,6.30,7.10
"[nf_defrag_ipv4]",0.04,0.06,0.05
"[nf_nat]",0.54,0.42,0.47
"redis-server",7.07,6.36,7.95
"[vdso]",0.49,0.37,0.51
