concurrency,n_total,create_avg_ms,create_p50_ms,create_p95_ms,create_p99_ms,delete_avg_ms,throughput_sb_s,success_pct,errors
100,1000,73.1,68.3,112.1,124.9,119.6,391.4,100,0
110,1100,74.3,70.9,114.1,129.0,115.1,437.4,100,0
120,1200,79.1,73.4,120.2,142.7,114.9,467.3,100,0
130,1300,88.4,84.3,138.1,155.7,118.3,482.7,100,0
140,1400,89.2,86.2,130.9,152.5,118.8,506.3,100,0
150,1500,93.4,89.9,136.9,171.7,122.5,537.7,100,0
160,1600,99.9,98.4,157.2,178.8,123.7,468.6,100,0
170,1700,106.8,101.5,167.8,199.0,134.0,547.6,100,0
180,1800,115.0,115.2,169.5,185.9,136.8,559.0,100,0
190,1900,116.3,111.5,182.1,204.5,135.8,597.9,100,0
200,2000,116.0,109.8,181.1,215.7,138.6,633.4,100,0
210,2100,131.3,130.6,189.1,219.5,148.4,606.7,100,0
220,2200,131.1,130.8,196.7,227.1,152.4,628.4,100,0
230,2300,141.1,137.6,200.6,233.8,154.1,644.1,100,0
240,2400,155.5,156.9,228.4,250.1,165.2,616.6,100,0
250,2500,154.0,152.7,220.4,249.9,167.3,627.4,100,0
260,2600,161.7,161.7,226.7,250.5,171.8,644.4,100,0
270,2700,167.4,164.9,240.4,263.3,175.6,662.4,100,0
280,2800,173.9,169.9,232.1,274.1,173.6,672.8,100,0
290,2900,179.7,183.5,250.4,283.4,190.7,589.6,100,0
300,3000,188.6,190.1,256.1,281.6,191.8,667.9,100,0
310,3100,193.5,192.5,256.1,292.4,189.7,688.0,100,0
320,3200,201.3,200.6,270.2,294.5,196.2,686.2,100,0
330,3300,208.2,215.3,274.5,317.8,218.0,654.0,100,0
340,3400,217.4,220.2,302.2,327.7,220.8,660.1,100,0
350,3500,228.5,233.9,310.0,338.5,231.9,652.6,100,0
