concurrency,n_total,create_avg_ms,create_p50_ms,create_p95_ms,create_p99_ms,delete_avg_ms,throughput_sb_s,success_pct,errors
100,1000,81.8,74.6,129.8,144.9,128.3,367.4,100,0
110,1100,90.3,84.2,150.3,171.6,136.9,379.4,100,0
120,1200,85.9,82.2,126.6,140.7,122.6,443.7,100,0
130,1300,89.0,82.9,150.7,171.1,124.2,463.9,100,0
140,1400,83.7,79.2,137.9,155.2,115.2,543.8,100,0
150,1500,93.5,93.9,133.4,165.6,130.8,442.2,100,0
160,1600,94.1,90.5,137.0,175.9,122.7,565.3,100,0
170,1700,101.2,94.2,159.3,181.6,123.3,586.7,100,0
180,1800,107.1,102.2,166.6,220.1,130.7,600.5,100,0
190,1900,112.8,107.3,165.6,218.5,136.7,599.5,100,0
200,2000,120.3,117.1,175.6,228.1,139.8,626.9,100,0
210,2100,126.6,124.6,179.1,226.5,143.4,631.8,100,0
220,2200,130.0,126.7,184.3,220.8,147.9,643.8,100,0
230,2300,141.3,137.2,211.1,231.2,160.8,628.4,100,0
240,2400,146.7,143.1,211.6,250.8,164.5,630.8,100,0
250,2500,151.5,152.0,208.8,237.4,166.4,656.2,100,0
260,2600,165.7,163.8,241.4,264.9,175.0,639.9,100,0
270,2700,163.9,163.3,220.3,254.2,169.0,670.1,100,0
280,2800,176.3,177.9,241.8,271.2,187.3,643.9,100,0
290,2900,190.6,183.0,249.3,434.1,185.1,651.0,100,0
300,3000,206.3,194.5,259.9,781.2,223.8,597.0,100,0
310,3100,219.8,199.5,627.4,734.9,212.7,617.9,100,0
320,3200,226.7,211.8,285.8,781.0,234.7,604.1,100,0
330,3300,234.8,216.2,303.7,794.2,231.2,610.0,100,0
340,3400,243.7,228.5,302.7,818.4,240.8,612.2,100,0
350,3500,257.7,245.3,360.2,869.6,254.8,592.1,100,0
