concurrency,n_total,create_avg_ms,create_p50_ms,create_p95_ms,create_p99_ms,delete_avg_ms,throughput_sb_s,success_pct,errors
100,1000,82.8,73.2,176.2,196.1,118.9,368.6,100,0
110,1100,83.2,80.0,130.6,152.7,116.0,346.4,100,0
120,1200,84.6,80.7,137.3,169.4,114.7,450.3,100,0
130,1300,91.3,84.8,144.2,178.7,118.9,478.8,100,0
140,1400,99.4,97.2,153.3,187.0,123.4,481.8,100,0
150,1500,101.0,98.6,153.9,184.5,126.7,510.1,100,0
160,1600,101.3,96.6,167.8,199.1,130.8,533.2,100,0
170,1700,113.7,114.2,184.8,206.4,135.6,540.8,100,0
180,1800,113.5,112.1,173.4,201.9,135.0,579.0,100,0
190,1900,121.1,119.0,187.6,217.7,148.0,421.2,100,0
200,2000,131.8,136.6,186.4,218.5,153.0,577.9,100,0
210,2100,124.0,117.9,195.7,239.2,147.2,529.1,100,0
220,2200,135.7,133.8,198.0,236.7,154.4,618.5,100,0
230,2300,145.6,143.1,221.4,250.7,160.2,615.0,100,0
240,2400,147.3,145.3,205.0,235.2,159.2,635.8,100,0
250,2500,150.1,146.6,214.3,273.7,159.2,650.5,100,0
260,2600,160.3,153.7,238.3,254.2,167.8,651.4,100,0
270,2700,166.5,166.0,242.0,275.1,183.0,642.9,100,0
280,2800,178.0,175.8,250.9,275.5,180.4,579.3,100,0
290,2900,186.3,190.0,264.7,295.3,200.3,640.5,100,0
300,3000,191.0,192.0,260.7,297.2,198.4,648.5,100,0
310,3100,195.9,202.0,259.9,300.5,208.8,657.5,100,0
320,3200,207.2,207.6,278.4,325.3,205.7,653.8,100,0
330,3300,209.4,216.8,276.5,322.3,218.7,591.1,100,0
340,3400,215.5,222.7,293.3,325.7,229.7,654.6,100,0
350,3500,227.4,235.5,310.4,340.8,231.4,658.8,100,0
