concurrency,n_total,create_avg_ms,create_p50_ms,create_p95_ms,create_p99_ms,delete_avg_ms,throughput_sb_s,success_pct,errors
100,1000,73.7,68.7,120.7,134.5,118.3,394.7,100,0
110,1100,79.6,74.5,126.6,143.9,120.8,417.6,100,0
120,1200,74.4,70.5,119.7,144.5,110.7,493.2,100,0
130,1300,90.9,86.9,145.7,155.0,123.8,391.3,100,0
140,1400,85.1,80.7,134.9,156.6,120.4,513.5,100,0
150,1500,97.0,92.3,145.9,165.6,126.1,527.9,100,0
160,1600,97.7,92.5,149.4,176.0,127.4,548.5,100,0
170,1700,102.7,97.2,152.6,181.2,127.2,573.9,100,0
180,1800,105.8,102.6,155.5,188.7,133.7,505.2,100,0
190,1900,112.4,105.9,178.0,200.1,138.2,601.3,100,0
200,2000,119.4,112.0,193.0,208.6,144.2,519.2,100,0
210,2100,128.0,125.9,199.8,225.9,151.8,610.2,100,0
220,2200,132.0,131.7,190.3,224.0,151.8,624.2,100,0
230,2300,139.9,139.0,196.6,234.4,155.0,646.5,100,0
240,2400,149.3,145.5,209.5,244.9,158.7,636.9,100,0
250,2500,156.1,158.2,226.5,247.4,173.4,559.9,100,0
260,2600,162.4,156.6,234.9,276.2,169.0,650.5,100,0
270,2700,172.5,171.9,254.3,279.3,180.6,640.3,100,0
280,2800,172.3,170.8,237.6,266.6,182.7,652.9,100,0
290,2900,182.9,185.4,250.1,286.7,188.1,655.9,100,0
300,3000,187.4,191.2,266.7,294.9,205.4,642.8,100,0
310,3100,194.3,194.1,266.0,303.0,195.2,671.9,100,0
320,3200,206.7,211.0,285.6,310.8,211.6,593.6,100,0
330,3300,209.5,211.0,283.7,322.0,226.6,640.3,100,0
340,3400,219.0,220.4,288.7,328.2,218.2,674.8,100,0
350,3500,222.9,230.5,304.0,342.4,236.3,659.0,100,0
